1,20000000,2,0.0,0.0,0.0,0.0,0.0,0.0
1,20000000,4,0.0,0.0,0.0,0.0,0.0,0.0
1,20000000,8,0.0,0.0,0.0,0.0,0.0,0.0
1,20000000,16,0.0,0.0,0.0,0.0,0.0,0.0
1,40000000,2,0.0,0.0,0.0,0.0,0.0,0.0
1,40000000,4,0.0,0.0,0.0,0.0,0.0,0.0
1,40000000,8,0.0,0.0,0.0,0.0,0.0,0.0
1,40000000,16,0.0,0.0,0.0,0.0,0.0,0.0
1,80000000,2,0.0,0.0,0.0,0.0,0.0,0.0
1,80000000,4,0.0,0.0,0.0,0.0,0.0,0.0
1,80000000,8,0.0,0.0,0.0,0.0,0.0,0.0
1,80000000,16,0.0,0.0,0.0,0.0,0.0,0.0
1,160000000,2,0.0,0.0,0.0,0.0,0.0,0.0
1,160000000,4,0.0,0.0,0.0,0.0,0.0,0.0
1,160000000,8,0.0,0.0,0.0,0.0,0.0,0.0
1,160000000,16,0.0,0.0,0.0,0.0,0.0,0.0
